Name,User #,Discord,Time Zone,TZ#,Tier,Zone,Division
Alice_in_Dystopia,,@Kontraexistenz#8766,Europe/Berlin,2:00,G,EU,G32
Alipata,,@Alipata#2349,Europe/Berlin,2:00,G,AS,G24
Annab492,,@Annab492#1114,America/New_York,-4:00,G,AME,G13
avsparry,7125,@avsparry#6944,Europe/London,1:00,G,EU,G26
bigbootyboi,,@karf#2537,America/Los_Angeles,-7:00,G,AMW,G19
BigFarm,7333,@hoof#3097,America/Toronto,-4:00,G,AME,G16
bigmoose,6609,@Big Moose#8075,America/New_York,-4:00,G,AME,G2
billchu13,,@Sir Osric (they/them)#5809,America/Los_Angeles,-7:00,G,AMW,G19
blakewain,,@blakewain#6721,America/New_York,-4:00,G,AME,G16
blublable,,@niklas1000#9957,Europe/Berlin,2:00,G,EU,G30
bonxie,5728,@Bonxie#0837,Europe/London,1:00,G,EU,G27
BostonQuad,,@BostonQuad#2700,America/Denver,-6:00,G,AMW,G20
BParty,,@Tony Danza#4430,America/Denver,-6:00,G,AMW,G23
BrainTwister,7259,@BrainTwister#3319,America/Los_Angeles,-7:00,G,AMW,G18
Branbles,,@Branbles#3092,Australia/Sydney,10:00,G,AS,G24
bubblovat,,@bubblovat#7971,America/New_York,-4:00,G,AME,G8
byrne,7168,@byrne#6578,America/New_York,-4:00,G,AME,G10
catdontbark,,@catdontbark#0266,America/Los_Angeles,-7:00,G,AMW,G18
Chamoose,7304,@Chamoose#9700,America/New_York,-4:00,G,AME,G10
CharlesVane,7390,@CharlesVane#5622,Europe/Berlin,2:00,G,EU,G25
charstar5,,@charstar5#3208,America/New_York,-4:00,G,AME,G6
chattateo,,@Chattateo#0267,America/New_York,-4:00,G,AME,G15
chesstick,7419,@chesstick#9732,Europe/Berlin,2:00,G,EU,G28
ChocoChip,,@Choco Chip#2287,America/Los_Angeles,-7:00,G,AMW,G21
chrismertens,5730,@chrismertens#8131,Europe/Berlin,2:00,G,EU,G32
Ciparo,,@Gert#7114,Europe/Paris,2:00,G,EU,G32
clemdog69,,@WeedWizard420#6479,America/Los_Angeles,-7:00,G,AMW,G20
cofa,,@Travelingeek#4570,Europe/Berlin,2:00,G,EU,G30
cruiskeen,5839,@cruiskeen#9308,Europe/Berlin,2:00,G,EU,G32
dajjans4,,@dajjans4#7013,America/Chicago,-5:00,G,AME,G2
Darkwrath,,@darkwrath#0067,America/Los_Angeles,-7:00,G,AMW,G22
DarthSensitive,,@DarthSensitive#6746,America/Chicago,-5:00,G,AME,G14
darthshikago,,@Shikago#2541,America/New_York,-4:00,G,AME,G
DaveDude,,@DaveDude68#2692,America/Regina,-6:00,G,AMW,G23
dendanskemand,,@dendanskemand#9792,America/New_York,-4:00,G,AME,G3
DerpKaiser,,@TheTimePolice#4559,America/Chicago,-5:00,G,AM,G1
DesertWhale,,@erokebok#5728,America/Indiana/Indianapolis,-4:00,G,AME,G16
dexterslab,7394,@dexterslab#9927,Asia/Kolkata,5:30,G,AS,G24
dfodavid,6840,@dfodavid#7751,America/New_York,-4:00,G,AME,G4
DK88,,@D_K_8_8#2617,America/Los_Angeles,-7:00,G,AMW,G21
dominicw,,@dominicw#7201,Europe/Berlin,2:00,G,EU,G29
Drkschneider,,@Drkschneider#8005,Europe/Helsinki,3:00,G,EU,G25
drog,,@drog#0044,America/Los_Angeles,-7:00,G,AMW,G18
Durotan97,,@Durotan97#6018,Europe/London,1:00,G,EU,G26
ECreed,,@Szilveszter#1495,Europe/Berlin,2:00,G,EU,G25
eereid,,@eereid#0961,America/New_York,-4:00,G,AME,G3
elazarus,,@Arsene#3257,America/Los_Angeles,-7:00,G,AMW,G
EmperorMattXIV,,@EmperorMattXIV#9286,Europe/London,1:00,G,EU,G26
Eppob,,@eppob#3114,Europe/Paris,2:00,G,EU,G31
Eraa,,@Era#9083,America/New_York,-4:00,G,AME,G7
erikmoyer,,@erikmoyer#0791,America/Los_Angeles,-7:00,G,AMW,G21
erndiggity,7184,@erndiggity#6481,America/Los_Angeles,-7:00,G,AMW,G20
farrmich,,@farrmich#8704,America/Chicago,-5:00,G,AME,G3
Flatirons,7008,@Flatirons#2782,America/Denver,-6:00,G,AMW,G18
frownland,,@jackie#2196,America/New_York,-4:00,G,AME,G3
Fullwagon,,@Reticul#3365,America/New_York,-4:00,G,AME,G5
garrettargenna,,@Garrett#7515,America/New_York,-4:00,G,AME,G17
geal77,5064,@gerardo#4231,America/Bogota,-5:00,G,AME,G8
go1964,,@go1964#5167,Europe/Rome,2:00,G,EU,G31
gpitsakis,,@onionrung#1928,America/New_York,-4:00,G,AME,G
gregsucks,3230,@gregsucks#2877,America/Chicago,-5:00,G,AME,G9
grimace,,@gus#8103,America/New_York,-4:00,G,AME,G12
gugucool,7163,@gugucool#1877,America/Toronto,-4:00,G,AME,G9
gustav17,,@gustav17#9191,America/Chicago,-5:00,G,AME,G11
habeasporpoise,7198,@habeasporpoise#0192,America/Los_Angeles,-7:00,G,AMW,G20
Hammer12,,@hammer12#6855,America/Los_Angeles,-7:00,G,AMW,G23
Hankiepankie,7159,@Guido#9235,Europe/Paris,2:00,G,EU,G30
Hannigan2020,,@Hannigan2020#6089,America/Denver,-6:00,G,AMW,G
hezeheze,7317,@zezhong#0160,America/New_York,-4:00,G,AME,G14
Hoffi1210,,@Hoffi1210#4098,Europe/Berlin,2:00,G,EU,G28
IamAnoob1,,@IamAnoob#3776,America/New_York,-4:00,G,AME,G17
icul,,@luci#7420,America/New_York,-4:00,G,AME,G8
ineffabilliken,,@amos#2140,America/Chicago,-5:00,G,AME,G6
jdizzle,6979,@jdizzle#7448,America/Los_Angeles,-7:00,G,AMW,G22
jdizzle111,,@jdizzle111#0169,America/New_York,-4:00,G,AME,G14
jerrod,,@HgFalling#0752,America/New_York,-4:00,G,AME,G9
jimbobrady,6636,@jimbobrady#1710,America/Denver,-6:00,G,AMW,G19
Jimbuck,6531,@Jimbuck#4737,America/Chicago,-5:00,G,AME,G6
jpople,,@jpople#6138,America/New_York,-4:00,G,AME,G
jQsh,,@jQsh#5781,America/New_York,-4:00,G,AME,G17
jtoeman,5036,@jtoeman#1130,America/New_York,-4:00,G,AME,G5
jtran4418,,@lox#7532,America/New_York,-4:00,G,AME,G9
jtrupiano,,@jtrupiano#1058,America/Los_Angeles,-7:00,G,AMW,G20
Julu,,@Julu#5730,Europe/Berlin,2:00,G,EU,G27
kamsc88,,@TNT88#4454,America/Los_Angeles,-7:00,G,AM,G1
KarratKake,,@KarratKake#8203,America/New_York,-4:00,G,AME,G15
khalnayak,6951,@khalnayak#0346,America/Los_Angeles,-7:00,G,AMW,G21
King Julian 90,,@King Julian 90#2193,Europe/Berlin,2:00,G,EU,G26
KingMeseus,,@meseus#0008,America/Toronto,-4:00,G,AME,G4
kitchen42,,@Kitchen#7899,America/Los_Angeles,-7:00,G,AMW,G22
kska133,,@kyevil#2163,America/Chicago,-5:00,G,AME,G2
landonstryker,,@landon#0740,America/Chicago,-5:00,G,AM,G1
lar1138,,@lrickhoff#4215,America/Los_Angeles,-7:00,G,AMW,G21
leapoffaith24,6774,@leapoffaith24#2273,America/New_York,-4:00,G,AME,G13
lewisisgood,7288,@lewisisgood#2522,America/Chicago,-5:00,G,AME,G7
littlestdube,5803,@littlestdube#1043,America/New_York,-4:00,G,AME,G9
Livo,7003,@Livo#6960,Europe/London,1:00,G,EU,G
louda,5590,@louda#3980,Europe/Berlin,2:00,G,EU,G30
madronefive,6697,@madronefive#2595,America/New_York,-4:00,G,AME,G7
maksbondarenko,,@sudski_pilled#4146,America/New_York,-4:00,G,AME,G
malgorza,,@malgorza#0501,Europe/Warsaw,2:00,G,EU,G28
MarioPawty,,@MarioPawty#2110,America/New_York,-4:00,G,AME,G4
Martin Redsport,,@Martin Redsport#8756,Europe/Berlin,2:00,G,EU,G32
mccannification,,@mccannification#7863,America/New_York,-4:00,G,AME,G15
mcicrs,,@mosharp#1586,America/Los_Angeles,-7:00,G,AMW,G18
mcpep4b05,6997,@mcpep4b05#6610,America/Chicago,-5:00,G,AME,G8
mdh804,,@mdh804#2082,Europe/London,1:00,G,EU,G26
Melkordom,,@Melkordom#3853,America/New_York,-4:00,G,AME,G11
mglagrla,,@mglagrla#8136,America/Chicago,-5:00,G,AME,G5
mikedolph,6576,@mikedolph#1899,Europe/Zurich,2:00,G,EU,G27
militiamatt,,@militiamatt#9128,America/Los_Angeles,-7:00,G,AMW,G19
mizbeth,,@mizzo#9553,America/New_York,-4:00,G,AME,G7
mondainai2,,@Mondainai#1822,Europe/Stockholm,2:00,G,EU,G31
mountcleverest,,@sunj#4142,Asia/Calcutta,5:30,G,AS,G24
mpjohns,,@mpjohns#9488,America/Chicago,-5:00,G,AME,G16
MtMagus,2673,@MtMagus#6910,America/Chicago,-5:00,G,AM,G1
nepstein,,@nepstein#4216,America/New_York,-4:00,G,AME,G13
noisenow42,5834,@noisenow42#3441,Europe/Berlin,2:00,G,EU,G29
Nono13,,@Nono13#1336,Europe/Berlin,2:00,G,EU,G29
NotAVan,,@NotAVan#3165,America/New_York,-4:00,G,AME,G12
odddity111,,@odddity111#6853,America/Chicago,-5:00,G,AME,G2
Oktazooka,,@uaral#9273,Europe/Athens,3:00,G,EU,G32
Ord1n,,@ord1n#2451,Europe/Berlin,2:00,G,EU,G26
Osti92,,@Osti92#2207,Europe/Berlin,2:00,G,EU,G29
Ostrander17,,@ostrander17#8197,America/Los_Angeles,-7:00,G,AMW,G21
PanSarin,,@sarin#8100,Europe/Warsaw,2:00,G,EU,G30
PenWithArm,,@PenWithArm#4935,America/Chicago,-5:00,G,AME,G12
phyphor,2335,@phyphor#0054,Europe/London,1:00,G,AS,G24
pwu55,,@pwu55#1850,Europe/Paris,2:00,G,EU,G27
queerly_awesome,,@queerly_awesome#7836,America/New_York,-4:00,G,AME,G10
ramyad,7299,@ramyadh#0164,America/New_York,-4:00,G,AME,G13
RaphaelR,,@RaphaelR#1498,Europe/Berlin,2:00,G,EU,G28
redvelvet,,@magirocker#0070,America/Los_Angeles,-7:00,G,AMW,G19
ReedBros,7097,@breedsimpsonville#4621,America/New_York,-4:00,G,AME,G14
Reiderrabbit,,@Reid#0839,America/New_York,-4:00,G,AME,G11
rioderbi,,@rioderbi#4808,America/Chicago,-5:00,G,AME,G13
rohanthewarrior,,@rohanthewarrior#0853,America/New_York,-4:00,G,AME,G17
