Score,Season,Players,Score,P1,P2,P1 Wins,P2 Wins,Tier
,42,,,robertox,Thabo,3.5,2.5,F13
,42,,,della,Thabo,1,5,F13
,42,,,Schlafi,robertox,3,3,F13
,42,,,robertox,Gasku,5,1,F13
,42,,,Thabo,Schlafi,3,3,F13
,42,,,Gasku,Schlafi,3.5,2.5,F13
,42,,,robertox,Titus,3,3,F13
,42,,,della,robertox,3,3,F13
,42,,,Titus,Schlafi,5,1,F13
,42,,,Gasku,della,1,0,F13
,42,,,Gasku,della,3,2,F13
,42,,,Gasku,Titus,6,0,F13
,42,,,della,Schlafi,3,3,F13
,42,,,Thabo,Titus,4.5,1.5,F13
,42,,,Titus,della,5,1,F13
,42,,,Raphy J,Shiz,3,0,F14
,42,,,BeXXsoR,Magyi,5,1,F14
,42,,,BeXXsoR,Raphy J,3,3,F14
,42,,,BeXXsoR,LTaco,5,1,F14
,42,,,Raphy J,Magyi,2.5,3.5,F14
,42,,,BeXXsoR,Shiz,5,1,F14
,42,,,LTaco,Magyi,3,3,F14
,42,,,LTaco,Shiz,5,1,F14
,42,,,Magyi,Shiz,4,2,F14
,42,,,LTaco,Raphy J,1,3,F14
,42,,,Raphy J,LTaco,1,1,F14
,42,,,Raphy J,Shiz,2,1,F14
,42,,,Mollo8,matt979,4,2,G1
,42,,,Kangawu,Hamlet the Dane,4,2,G1
,42,,,Hamlet the Dane,matt979,2,4,G1
,42,,,tonyfig,Hamlet the Dane,3,3,G1
,42,,,Kangawu,matt979,2,0,G1
,42,,,Kangawu,matt979,1,3,G1
,42,,,tonyfig,matt979,2.5,3.5,G1
,42,,,Mollo8,Hamlet the Dane,4,0,G1
,42,,,Kangawu,Mollo8,0,4,G1
,42,,,tonyfig,Kangawu,3,1,G1
,42,,,Mollo8,Hamlet the Dane,2,0,G1
,42,,,Mollo8,tonyfig,4,2,G1
,42,,,LukaL,ZWade,2,4,G2
,42,,,jerrod,LukaL,4,2,G2
,42,,,ZWade,Annab492,2,1,G2
,42,,,Annab492,LukaL,1,5,G2
,42,,,Annab492,ZWade,0,3,G2
,42,,,Annab492,DerpKaiser,3,0,G2
,42,,,ZWade,DerpKaiser,3,0,G2
,42,,,ZWade,jerrod,4,2,G2
,42,,,DerpKaiser,ZWade,2,1,G2
,42,,,jerrod,Annab492,4,2,G2
,42,,,LukaL,DerpKaiser,4,1,G2
,42,,,DerpKaiser,LukaL,1,0,G2
,42,,,DerpKaiser,jerrod,4,2,G2
,42,,,Annab492,DerpKaiser,2,1,G2
,42,,,daniels,grimace,2,4,G3
,42,,,BigFarm,Abraham190137,3,3,G3
,42,,,daniels,jgoyes,4,2,G3
,42,,,daniels,Rwroberts23,3,3,G3
,42,,,daniels,Abraham190137,1.5,4.5,G3
,42,,,BigFarm,jgoyes,5,1,G3
,42,,,grimace,Abraham190137,5,1,G3
,42,,,grimace,Rwroberts23,2,1,G3
,42,,,grimace,BigFarm,4,2,G3
,42,,,Rwroberts23,jgoyes,4.5,1.5,G3
,42,,,Rwroberts23,Abraham190137,2,4,G3
,42,,,daniels,BigFarm,2,4,G3
,42,,,Abraham190137,jgoyes,4.5,1.5,G3
,42,,,BigFarm,Rwroberts23,4,2,G3
,42,,,grimace,Rwroberts23,3,0,G3
,42,,,grimace,jgoyes,3,3,G3
,42,,,zsaffir,wwwdotwww,4,0,G4
